"Address","Content Type","Status Code","Status","Crawl Depth","Inlinks"
"https://www.googletagmanager.com/ns.html?id=GTM-K3HGTNM","text/html; charset=UTF-8","200","OK","1","0"
"https://www.facebook.com/HowMa.home","text/html; charset=""utf-8""","200","OK","1","81"
"https://prtimes.jp/main/html/rd/p/000000070.000014770.html","text/html; charset=utf-8","200","OK","2","1"
"https://twitter.com/howma0805","text/html; charset=utf-8","301","Moved Permanently","1","102"
"https://www.estate-tech.co.jp/news/34550/","text/html; charset=UTF-8","200","OK","2","1"
"https://japan.cnet.com/article/35203804/","text/html; charset=UTF-8","200","OK","2","1"
"https://biz.homes.jp/column/topics-00049","text/html; charset=utf-8","200","OK","2","1"
"https://stock-sun.com/seminar/housemaker-youtube/","text/html; charset=UTF-8","404","Not Found","2","1"
"https://45a5a14a3b57f2cbb261c9545d.doorkeeper.jp/events/148854","text/html; charset=utf-8","200","OK","2","1"
"https://prtimes.jp/main/html/rd/p/000000048.000014770.html","text/html; charset=utf-8","200","OK","2","1"
"https://prtimes.jp/main/html/rd/p/000000068.000014770.html","text/html; charset=utf-8","200","OK","2","1"
"https://mikata-seminar.jp/seminars/277","text/html; charset=utf-8","200","OK","2","1"
"https://cocolive.co.jp/seminar/20250710/","text/html; charset=UTF-8","200","OK","2","1"
"https://bservice.collab-it.net/seminar/20250410_movie","text/html; charset=UTF-8","200","OK","2","1"
"https://domani.shogakukan.co.jp/550739","text/html; charset=UTF-8","200","OK","2","1"
"https://static.cloudflareinsights.com/beacon.min.js/v8c78df7c7c0f484497ecbca7046644da1771523124516","text/javascript;charset=UTF-8","200","OK","1","0"
"https://fonts.googleapis.com/css2?family=Material+Icons&family=Material+Icons+Outlined","text/css; charset=utf-8","200","OK","2","0"
"https://collab-it.net/","text/html; charset=UTF-8","200","OK","2","306"
"https://collab-it.net/privacy/","text/html; charset=UTF-8","200","OK","2","1"
"https://secure.gravatar.com/avatar/1263b603e6d50568a7e0e6a8879b1371286745bb4ab024a384320edf61a93bf1?s=96&d=mm&r=g","image/jpeg","200","OK","2","0"
"https://cdnjs.cloudflare.com/polyfill/v3/polyfill.min.js?version=4.8.0&features=es2022%2Ces2021%2Ces2020%2Ces2019%2Ces2018%2Ces2017%2Ces2016%2Ces2015","text/javascript; charset=UTF-8","200","OK","2","0"
"https://bservice.collab-it.net/service/howma-sales-reaction","text/html; charset=UTF-8","200","OK","2","1"
"https://privacymark.jp/","text/html; charset=UTF-8","200","OK","2","1"
